Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12657,2023-10-09,-0.046265019,-0.020545042,-0.020657499,21,100
Market-Adjusted Model,12658,2023-10-09,-0.059285708,-0.034298686,-0.033678187,21,100
Market-Adjusted Model,12659,2023-10-09,-0.043604604,-0.017897269,-0.017997083,21,100
Market-Adjusted Model,12662,2023-10-09,-0.05573727,-0.031441554,-0.030129749,21,100
Market-Adjusted Model,12666,2023-10-09,0.0038604301,0.029046735,0.0294679506,21,100
Market-Adjusted Model,12672,2023-10-09,0.032632123,0.0577899219,0.0582396434,21,100
Market-Adjusted Model,12673,2023-10-09,-0.042103793,-0.017095371,-0.016496273,21,100
Market-Adjusted Model,12675,2023-10-09,-0.029143287,-0.004045941,-0.003535766,21,100
Market-Adjusted Model,12676,2023-10-09,-0.041182927,-0.016377751,-0.015575406,21,100
Market-Adjusted Model,12680,2023-10-09,-0.014035073,0.012767707,0.0115724471,21,100
Market-Adjusted Model,12681,2023-10-09,-0.070424441,-0.045645784,-0.044816921,21,100
Market-Adjusted Model,12684,2023-10-09,-0.020964345,0.0085743648,0.0046431755,21,100
Market-Adjusted Model,12690,2023-10-09,0.1620111568,0.1834583094,0.1876186773,21,100
Market-Adjusted Model,12693,2023-10-09,-0.046689603,-0.020919551,-0.021082082,21,100
Market-Adjusted Model,12697,2023-10-09,-0.48134238,-0.483286264,-0.455734859,21,100
Market-Adjusted Model,12699,2023-10-09,-0.141065837,-0.108210095,-0.115458317,21,100
Market-Adjusted Model,12717,2023-10-09,-0.056985784,-0.031410404,-0.031378264,21,100
Market-Adjusted Model,12741,2023-10-09,-0.02408382,0.0012618101,0.0015237005,21,100
Market-Adjusted Model,12745,2023-10-09,0.0844327643,0.1084652057,0.1100402848,21,100
Market-Adjusted Model,12747,2023-10-09,-0.038910506,-0.013883349,-0.013302986,21,100
Market-Adjusted Model,12751,2023-10-09,0.1531531181,0.1858385681,0.1787606385,21,100
Market-Adjusted Model,12753,2023-10-09,-0.042498327,-0.017659334,-0.016890807,21,100
